"No.","Time","Source","Destination","Protocol","Length","Info"
"110671","2013-02-27 03:33:09.443677","192.168.1.71","8.8.8.8","DNS","68","Standard query 0x1001 A metar.gr"
"110842","2013-02-27 03:33:09.532492","192.168.1.72","8.8.8.8","DNS","80","Standard query 0xc3de A bigliettieventi.info"
"111891","2013-02-27 03:33:09.903753","192.168.1.73","8.8.8.8","DNS","83","Standard query 0xf807 A asseenontvlaunchpad.com"
"118896","2013-02-27 03:33:11.953696","192.168.1.74","8.8.8.8","DNS","67","Standard query 0x43e5 A ftf.com"
"119178","2013-02-27 03:33:12.063082","192.168.1.75","8.8.8.8","DNS","71","Standard query 0xfac1 A polymth.com"
"135130","2013-02-27 03:33:17.274283","192.168.1.76","8.8.8.8","DNS","69","Standard query 0x3b35 A crsgfk.de"
"151555","2013-02-27 03:33:22.778507","192.168.1.77","8.8.8.8","DNS","78","Standard query 0x65c4 A urbannetwork.co.uk"
"158440","2013-02-27 03:33:25.289126","192.168.1.78","8.8.8.8","DNS","69","Standard query 0xf093 A synrc.com"
"158735","2013-02-27 03:33:25.417057","192.168.1.79","8.8.8.8","DNS","73","Standard query 0x8629 A callcomm.info"
"174416","2013-02-27 03:33:31.549037","192.168.1.80","8.8.8.8","DNS","73","Standard query 0x439c A ceskykutil.cz"
"175361","2013-02-27 03:33:31.803712","192.168.1.81","8.8.8.8","DNS","79","Standard query 0x23af A ximangquantrieu.com"
"176075","2013-02-27 03:33:32.050860","192.168.1.82","8.8.8.8","DNS","73","Standard query 0x0737 A shishioh.info"
"183768","2013-02-27 03:33:35.789803","192.168.1.83","8.8.8.8","DNS","75","Standard query 0xed10 A vpndefender.com"
"190886","2013-02-27 03:33:39.270423","192.168.1.84","8.8.8.8","DNS","70","Standard query 0x1314 A hutago.com"
"199731","2013-02-27 03:33:42.310465","192.168.1.85","8.8.8.8","DNS","74","Standard query 0x297f A tangkas888.com"
"200011","2013-02-27 03:33:42.421626","192.168.1.86","8.8.8.8","DNS","67","Standard query 0x8f5a A egov.sy"
"207914","2013-02-27 03:33:45.306249","192.168.1.87","8.8.8.8","DNS","71","Standard query 0x5130 A abmcare.com"
"213173","2013-02-27 03:33:48.048433","fe80::9186:dbbd:2a45:50c2","ff02::1:3","LLMNR","84","Standard query 0xd4c1 A wpad"
"213175","2013-02-27 03:33:48.048715","172.16.133.87","224.0.0.252","LLMNR","64","Standard query 0xd4c1 A wpad"
"213335","2013-02-27 03:33:48.149111","fe80::9186:dbbd:2a45:50c2","ff02::1:3","LLMNR","84","Standard query 0xd4c1 A wpad"
"213336","2013-02-27 03:33:48.149188","172.16.133.87","224.0.0.252","LLMNR","64","Standard query 0xd4c1 A wpad"
"213428","2013-02-27 03:33:48.192434","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","86","Standard query 0x893d A isilon"
"213429","2013-02-27 03:33:48.192694","172.16.133.40","224.0.0.252","LLMNR","66","Standard query 0x893d A isilon"
"213621","2013-02-27 03:33:48.292074","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","86","Standard query 0x893d A isilon"
"213622","2013-02-27 03:33:48.292133","172.16.133.40","224.0.0.252","LLMNR","66","Standard query 0x893d A isilon"
"215803","2013-02-27 03:33:49.154783","192.168.1.88","8.8.8.8","DNS","68","Standard query 0x4d65 A iael.com"
"239512","2013-02-27 03:33:57.119231","192.168.1.89","8.8.8.8","DNS","69","Standard query 0x9d37 A sailor.pl"
"248343","2013-02-27 03:33:59.685761","192.168.1.90","8.8.8.8","DNS","79","Standard query 0xc527 A skyhightmatter.info"
"255683","2013-02-27 03:34:02.308067","192.168.1.91","8.8.8.8","DNS","74","Standard query 0xf709 A autopareri.com"
"263620","2013-02-27 03:34:04.786158","192.168.1.92","8.8.8.8","DNS","66","Standard query 0xb91b A cia.it"
"263927","2013-02-27 03:34:04.896574","192.168.1.93","8.8.8.8","DNS","82","Standard query 0x082e A texasbeyondhistory.net"
"264370","2013-02-27 03:34:05.020097","192.168.1.94","8.8.8.8","DNS","77","Standard query 0x1704 A gardenofwords.com"
"264527","2013-02-27 03:34:05.075566","192.168.1.95","8.8.8.8","DNS","79","Standard query 0xdab1 A giuseppelivraghi.it"
"271537","2013-02-27 03:34:07.331387","192.168.1.96","8.8.8.8","DNS","70","Standard query 0x2d60 A hdcric.com"
"272274","2013-02-27 03:34:07.640452","192.168.1.97","8.8.8.8","DNS","73","Standard query 0xdaa3 A chekiang.info"
"279060","2013-02-27 03:34:10.662728","192.168.1.98","8.8.8.8","DNS","76","Standard query 0x635b A archiportale.com"
"288549","2013-02-27 03:34:13.388639","192.168.1.99","8.8.8.8","DNS","65","Standard query 0xaeed A de.vu"
"304526","2013-02-27 03:34:21.338010","192.168.1.100","8.8.8.8","DNS","75","Standard query 0x6a44 A teachmyass.info"
"319610","2013-02-27 03:34:25.813720","192.168.1.101","8.8.8.8","DNS","79","Standard query 0x5402 A nasaspaceflight.com"
"334802","2013-02-27 03:34:30.364574","192.168.1.102","8.8.8.8","DNS","81","Standard query 0x8657 A consumerreviews24.com"
"336190","2013-02-27 03:34:30.808593","192.168.1.103","8.8.8.8","DNS","67","Standard query 0x4f7d A dilw.ie"
"359157","2013-02-27 03:34:37.956333","192.168.1.104","8.8.8.8","DNS","75","Standard query 0x47d2 A bbqinjector.com"
"359672","2013-02-27 03:34:38.071466","192.168.1.105","8.8.8.8","DNS","70","Standard query 0xea80 A gxjbsj.com"
"384156","2013-02-27 03:34:46.380785","192.168.1.106","8.8.8.8","DNS","70","Standard query 0xb3d9 A fmnara.com"
"392643","2013-02-27 03:34:49.089483","192.168.1.107","8.8.8.8","DNS","74","Standard query 0x3569 A pet-connect.ru"
"402904","2013-02-27 03:34:53.432644","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","86","Standard query 0x7bf5 A isatap"
"402907","2013-02-27 03:34:53.432899","172.16.133.37","224.0.0.252","LLMNR","66","Standard query 0x7bf5 A isatap"
"403078","2013-02-27 03:34:53.533356","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","86","Standard query 0x7bf5 A isatap"
"403079","2013-02-27 03:34:53.533358","172.16.133.37","224.0.0.252","LLMNR","66","Standard query 0x7bf5 A isatap"
"408006","2013-02-27 03:34:55.430899","192.168.1.108","8.8.8.8","DNS","74","Standard query 0xa342 A synchchaos.com"
"414892","2013-02-27 03:34:57.538443","192.168.1.109","8.8.8.8","DNS","67","Standard query 0xe309 A uca.edu"
"416817","2013-02-27 03:34:58.100300","192.168.1.110","8.8.8.8","DNS","71","Standard query 0x0d98 A oaister.org"
"423258","2013-02-27 03:35:00.110635","192.168.1.111","8.8.8.8","DNS","78","Standard query 0xf1c4 A chenghuavideo.asia"
"423437","2013-02-27 03:35:00.140535","192.168.1.112","8.8.8.8","DNS","82","Standard query 0x24e0 A video-peche-poisson.fr"
"424772","2013-02-27 03:35:00.575936","192.168.1.113","8.8.8.8","DNS","77","Standard query 0xcb44 A currencyrates.org"
"434290","2013-02-27 03:35:02.587723","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xc981 A wpad"
"434293","2013-02-27 03:35:02.587955","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xc981 A wpad"
"434596","2013-02-27 03:35:02.687264","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xc981 A wpad"
"434597","2013-02-27 03:35:02.687266","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xc981 A wpad"
"439884","2013-02-27 03:35:03.769538","192.168.1.114","8.8.8.8","DNS","67","Standard query 0xf242 A zpav.pl"
"448043","2013-02-27 03:35:06.511125","192.168.1.115","8.8.8.8","DNS","70","Standard query 0xed3c A tawali.com"
"448516","2013-02-27 03:35:06.684512","192.168.1.116","8.8.8.8","DNS","75","Standard query 0xc7b4 A dock2office.com"
"455458","2013-02-27 03:35:08.751457","192.168.1.117","8.8.8.8","DNS","84","Standard query 0x29ca A vlielandoutdoorcenter.nl"
"455608","2013-02-27 03:35:08.849186","192.168.1.118","8.8.8.8","DNS","72","Standard query 0xd296 A gregginn.com"
"464618","2013-02-27 03:35:12.184107","192.168.1.119","8.8.8.8","DNS","70","Standard query 0x8711 A arcoat.com"
"471724","2013-02-27 03:35:15.521246","192.168.1.120","8.8.8.8","DNS","81","Standard query 0x272c A cushinglawoffices.com"
"487815","2013-02-27 03:35:21.244773","192.168.1.121","8.8.8.8","DNS","76","Standard query 0x381a A eggcityradio.com"
"488842","2013-02-27 03:35:21.520982","192.168.1.122","8.8.8.8","DNS","76","Standard query 0x23c4 A michaelbyers.org"
"531056","2013-02-27 03:35:39.256750","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x2231 A wpad"
"531058","2013-02-27 03:35:39.258179","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x84b6 A wpad"
"531059","2013-02-27 03:35:39.258181","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x84b6 A wpad"
"531060","2013-02-27 03:35:39.258182","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x2231 A wpad"
"531315","2013-02-27 03:35:39.356276","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x84b6 A wpad"
"531316","2013-02-27 03:35:39.356277","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x84b6 A wpad"
"531351","2013-02-27 03:35:39.367774","fe80::2481:749b:fc6c:2786","ff02::1:3","LLMNR","84","Standard query 0x2231 A wpad"
"531352","2013-02-27 03:35:39.367776","172.16.133.37","224.0.0.252","LLMNR","64","Standard query 0x2231 A wpad"
"551911","2013-02-27 03:35:48.777222","192.168.1.123","8.8.8.8","DNS","69","Standard query 0x2502 A stkpro.ru"
"560335","2013-02-27 03:35:52.966771","192.168.1.124","8.8.8.8","DNS","72","Standard query 0xec94 A silveropt.ru"
"567158","2013-02-27 03:35:55.722418","192.168.1.125","8.8.8.8","DNS","73","Standard query 0x9192 A topbarbee.com"
"568240","2013-02-27 03:35:56.153696","192.168.1.126","8.8.8.8","DNS","72","Standard query 0x056c A teleskill.it"
"575463","2013-02-27 03:35:59.736938","192.168.1.127","8.8.8.8","DNS","80","Standard query 0x8f39 A virtualjerusalem.com"
"575614","2013-02-27 03:35:59.776840","192.168.1.128","8.8.8.8","DNS","72","Standard query 0xa7a3 A morban.co.uk"
"576119","2013-02-27 03:35:59.942607","192.168.1.129","8.8.8.8","DNS","73","Standard query 0x3173 A mechachal.org"
"591379","2013-02-27 03:36:06.295758","192.168.1.130","8.8.8.8","DNS","78","Standard query 0x97d0 A noblewomanhood.com"
"600419","2013-02-27 03:36:11.275313","192.168.1.131","8.8.8.8","DNS","88","Standard query 0xf857 A cosmeticaestheticsurgery.com"
"600602","2013-02-27 03:36:11.364914","192.168.1.132","8.8.8.8","DNS","78","Standard query 0x4c2e A note-so-easy.co.za"
"606824","2013-02-27 03:36:14.577221","fe80::9801:c382:f46:e074","ff02::1:3","LLMNR","86","Standard query 0x20a3 A isatap"
"606881","2013-02-27 03:36:14.600503","172.16.133.72","224.0.0.252","LLMNR","66","Standard query 0x20a3 A isatap"
"607154","2013-02-27 03:36:14.697515","fe80::9801:c382:f46:e074","ff02::1:3","LLMNR","86","Standard query 0x20a3 A isatap"
"607158","2013-02-27 03:36:14.698172","172.16.133.72","224.0.0.252","LLMNR","66","Standard query 0x20a3 A isatap"
"615884","2013-02-27 03:36:19.414938","192.168.1.133","8.8.8.8","DNS","79","Standard query 0x8c13 A vietcapitaltour.com"
"616264","2013-02-27 03:36:19.632688","192.168.1.134","8.8.8.8","DNS","69","Standard query 0xc8df A ncees.org"
"624990","2013-02-27 03:36:22.382616","192.168.1.135","8.8.8.8","DNS","74","Standard query 0x82b3 A laigang001.com"
"633205","2013-02-27 03:36:26.752904","192.168.1.136","8.8.8.8","DNS","75","Standard query 0xfe3f A verlockeshop.de"
"639910","2013-02-27 03:36:30.220417","192.168.1.137","8.8.8.8","DNS","82","Standard query 0xb637 A clickdownloadfiles.com"
"648441","2013-02-27 03:36:33.796145","192.168.1.138","8.8.8.8","DNS","69","Standard query 0x5c2e A e-hps.com"
"648456","2013-02-27 03:36:33.805631","192.168.1.139","8.8.8.8","DNS","75","Standard query 0xc731 A drglendza.co.rs"
"649858","2013-02-27 03:36:34.456974","fe80::7991:b5a4:81ea:fe57","ff02::1:3","LLMNR","84","Standard query 0x9d6e A wpad"
"649859","2013-02-27 03:36:34.457217","172.16.133.53","224.0.0.252","LLMNR","64","Standard query 0x9d6e A wpad"
"650006","2013-02-27 03:36:34.557313","fe80::7991:b5a4:81ea:fe57","ff02::1:3","LLMNR","84","Standard query 0x9d6e A wpad"
"650007","2013-02-27 03:36:34.557389","172.16.133.53","224.0.0.252","LLMNR","64","Standard query 0x9d6e A wpad"
"657012","2013-02-27 03:36:38.372750","192.168.1.140","8.8.8.8","DNS","71","Standard query 0xc756 A ghimpele.ro"
"663488","2013-02-27 03:36:42.189950","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0x620c A wpad"
"663489","2013-02-27 03:36:42.190192","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0x620c A wpad"
"663658","2013-02-27 03:36:42.290266","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0x620c A wpad"
"663659","2013-02-27 03:36:42.290268","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0x620c A wpad"
"671628","2013-02-27 03:36:45.119630","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xa8c8 A wpad"
"671630","2013-02-27 03:36:45.119869","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xa8c8 A wpad"
"671894","2013-02-27 03:36:45.219324","fe80::4933:ed:eba9:2b34","ff02::1:3","LLMNR","84","Standard query 0xa8c8 A wpad"
"671895","2013-02-27 03:36:45.219326","172.16.133.11","224.0.0.252","LLMNR","64","Standard query 0xa8c8 A wpad"
"719420","2013-02-27 03:37:04.868158","192.168.1.141","8.8.8.8","DNS","70","Standard query 0xa212 A pahibu.net"
"721306","2013-02-27 03:37:05.367445","192.168.1.142","8.8.8.8","DNS","83","Standard query 0xde47 A trackcheatingspouse.com"
"729096","2013-02-27 03:37:09.297243","192.168.1.143","8.8.8.8","DNS","77","Standard query 0xe3ef A dricom-hosting.nl"
"737218","2013-02-27 03:37:12.652462","192.168.1.144","8.8.8.8","DNS","76","Standard query 0x79f6 A medipacademy.com"
"745127","2013-02-27 03:37:15.505107","192.168.1.145","8.8.8.8","DNS","70","Standard query 0x954f A e-daily.gr"
"745147","2013-02-27 03:37:15.511255","192.168.1.146","8.8.8.8","DNS","83","Standard query 0x4608 A cuteteenschoolgirlz.com"
"760862","2013-02-27 03:37:20.715586","192.168.1.147","8.8.8.8","DNS","71","Standard query 0xbf4d A hralda.info"
"775998","2013-02-27 03:37:26.202182","192.168.1.148","8.8.8.8","DNS","80","Standard query 0xa534 A sendrakhizonline.com"
"783944","2013-02-27 03:37:29.767017","192.168.1.149","8.8.8.8","DNS","74","Standard query 0xd9c9 A hayalforum.net"
"788601","2013-02-27 03:37:31.886719","fe80::860:9298:729d:46d7","ff02::1:3","LLMNR","84","Standard query 0x01f7 A wpad"
"788604","2013-02-27 03:37:31.886920","172.16.133.75","224.0.0.252","LLMNR","64","Standard query 0x01f7 A wpad"
"788854","2013-02-27 03:37:31.986694","fe80::860:9298:729d:46d7","ff02::1:3","LLMNR","84","Standard query 0x01f7 A wpad"
"788855","2013-02-27 03:37:31.986767","172.16.133.75","224.0.0.252","LLMNR","64","Standard query 0x01f7 A wpad"
"791966","2013-02-27 03:37:33.085209","192.168.1.150","8.8.8.8","DNS","76","Standard query 0x703c A begleyhutton.com"
"792545","2013-02-27 03:37:33.338071","192.168.1.151","8.8.8.8","DNS","72","Standard query 0xfaf8 A bmw-parts.ru"
"792675","2013-02-27 03:37:33.420208","192.168.1.152","8.8.8.8","DNS","68","Standard query 0xfba8 A rterc.in"
"801148","2013-02-27 03:37:35.896172","192.168.1.153","8.8.8.8","DNS","71","Standard query 0x2885 A monitis.com"
