"No.","Time","Source","Destination","Protocol","Length","Info"
"1889","2011-01-26 00:22:53.065135","192.168.3.131","224.0.0.252","LLMNR","64","Standard query 0x76f2 A wpad"
"1898","2011-01-26 00:22:53.165267","192.168.3.131","224.0.0.252","LLMNR","64","Standard query 0x76f2 A wpad"
"3982","2011-01-26 00:24:00.336851","172.16.255.1","224.0.0.252","LLMNR","64","Standard query 0x0c35 A wpad"
"3993","2011-01-26 00:24:00.437253","172.16.255.1","224.0.0.252","LLMNR","64","Standard query 0x0c35 A wpad"
"4728","2011-01-26 00:24:15.566125","192.168.1.155","8.8.8.8","DNS","79","Standard query 0x2583 A tenant-internet.com"
"4730","2011-01-26 00:24:15.572420","192.168.1.156","8.8.8.8","DNS","75","Standard query 0x3e66 A gadanguides.com"
"4731","2011-01-26 00:24:15.580413","192.168.1.157","8.8.8.8","DNS","76","Standard query 0x9a0e A charityjob.co.uk"
"4732","2011-01-26 00:24:15.581606","192.168.1.158","8.8.8.8","DNS","78","Standard query 0xd7c5 A sarahpartridge.net"
"4733","2011-01-26 00:24:15.583999","192.168.1.159","8.8.8.8","DNS","71","Standard query 0x5902 A ecolems.com"
"7667","2011-01-26 00:24:48.256731","192.168.1.154","8.8.8.8","DNS","79","Standard query 0xea1a A marilynlingerie.com"
"12535","2011-01-26 00:26:30.372866","192.168.1.60","8.8.8.8","DNS","85","Standard query 0x83a9 A anvilnetworksolutions.net"
"14445","2013-02-27 03:32:36.093981","192.168.1.61","8.8.8.8","DNS","69","Standard query 0x75c1 A cdmail.fr"
"14916","2013-02-27 03:32:36.268925","192.168.1.62","8.8.8.8","DNS","76","Standard query 0x909d A freeditorial.com"
"30553","2013-02-27 03:32:42.067795","192.168.1.63","8.8.8.8","DNS","69","Standard query 0xf17b A ciber.com"
"46767","2013-02-27 03:32:49.071478","192.168.1.64","8.8.8.8","DNS","73","Standard query 0xc206 A get-webby.com"
"78439","2013-02-27 03:33:00.144753","192.168.1.65","8.8.8.8","DNS","77","Standard query 0x9456 A gadgetgearpro.com"
"78679","2013-02-27 03:33:00.209750","192.168.1.66","8.8.8.8","DNS","80","Standard query 0xc601 A sonoma-marinfair.org"
"78687","2013-02-27 03:33:00.211015","192.168.1.67","8.8.8.8","DNS","73","Standard query 0xaebb A ishidatic.com"
"84240","2013-02-27 03:33:01.964810","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0xbebe A wpad"
"84241","2013-02-27 03:33:01.965100","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0xbebe A wpad"
"84653","2013-02-27 03:33:02.064669","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0xbebe A wpad"
"84656","2013-02-27 03:33:02.064767","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0xbebe A wpad"
"86917","2013-02-27 03:33:02.734859","192.168.1.68","8.8.8.8","DNS","84","Standard query 0x82e3 A minecraftserverdeals.com"
"94546","2013-02-27 03:33:04.748986","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0x6342 A wpad"
"94547","2013-02-27 03:33:04.749113","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0x6342 A wpad"
"95093","2013-02-27 03:33:04.849428","fe80::dc32:9062:d777:796c","ff02::1:3","LLMNR","84","Standard query 0x6342 A wpad"
"95094","2013-02-27 03:33:04.849500","172.16.133.40","224.0.0.252","LLMNR","64","Standard query 0x6342 A wpad"
"95409","2013-02-27 03:33:04.939731","192.168.1.69","8.8.8.8","DNS","70","Standard query 0xb8d3 A romney.com"
"98558","2013-02-27 03:33:05.919500","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x92ae A gmxwnlajnl"
"98560","2013-02-27 03:33:05.919875","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x4ebf A djoncbjcmv"
"98568","2013-02-27 03:33:05.920657","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x28da A mptrmkwart"
"98866","2013-02-27 03:33:06.020346","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x4ebf A djoncbjcmv"
"98867","2013-02-27 03:33:06.020349","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x92ae A gmxwnlajnl"
"98871","2013-02-27 03:33:06.021124","172.16.133.163","224.0.0.252","LLMNR","70","Standard query 0x28da A mptrmkwart"
"103318","2013-02-27 03:33:07.097440","192.168.1.70","8.8.8.8","DNS","75","Standard query 0xcb4a A bookingnest.com"
